행정동코드,상권업종대분류명,store_count
41150555,소매,194
41150555,수리·개인,162
41150555,시설관리·임대,19
41150555,예술·스포츠,52
41150555,음식,283
41150561,과학·기술,18
41150561,교육,45
41150561,보건의료,14
41150561,부동산,20
41150561,소매,121
41150561,수리·개인,47
41150561,숙박,3
41150561,시설관리·임대,6
41150561,예술·스포츠,17
41150561,음식,101
41150567,과학·기술,46
41150567,교육,135
41150567,보건의료,36
41150567,부동산,35
41150567,소매,224
41150567,수리·개인,147
41150567,시설관리·임대,40
41150567,예술·스포츠,62
41150567,음식,254
41150568,과학·기술,101
41150568,교육,240
41150568,보건의료,27
41150568,부동산,48
41150568,소매,236
41150568,수리·개인,212
41150568,숙박,6
41150568,시설관리·임대,57
41150568,예술·스포츠,64
41150568,음식,329
41150573,과학·기술,80
41150573,교육,93
41150573,보건의료,45
41150573,부동산,55
41150573,소매,272
41150573,수리·개인,164
41150573,숙박,2
41150573,시설관리·임대,44
41150573,예술·스포츠,66
41150573,음식,285
41150576,과학·기술,51
41150576,교육,142
41150576,보건의료,18
41150576,부동산,42
41150576,소매,198
41150576,수리·개인,192
41150576,숙박,1
41150576,시설관리·임대,29
41150576,예술·스포츠,53
41150576,음식,283
41150578,과학·기술,184
41150578,교육,243
41150578,보건의료,74
41150578,부동산,64
41150578,소매,394
41150578,수리·개인,275
41150578,시설관리·임대,49
41150578,예술·스포츠,135
41150578,음식,643
41150580,과학·기술,122
41150580,교육,99
41150580,보건의료,49
41150580,부동산,39
41150580,소매,315
41150580,수리·개인,212
41150580,숙박,1
41150580,시설관리·임대,57
41150580,예술·스포츠,65
41150580,음식,323
41150595,과학·기술,219
41150595,교육,68
41150595,보건의료,17
41150595,부동산,49
41150595,소매,272
41150595,수리·개인,204
41150595,숙박,3
41150595,시설관리·임대,41
41150595,예술·스포츠,46
41150595,음식,370
41150615,과학·기술,87
41150615,교육,49
41150615,보건의료,11
41150615,부동산,26
41150615,소매,203
41150615,수리·개인,129
41150615,숙박,1
41150615,시설관리·임대,44
41150615,예술·스포츠,26
41150615,음식,211
41150620,과학·기술,50
41150620,교육,62
41150620,보건의료,25
41150620,부동산,28
41150620,소매,195
41150620,수리·개인,103
41150620,숙박,1
41150620,시설관리·임대,16
41150620,예술·스포츠,45
41150620,음식,188
41150630,과학·기술,83
41150630,교육,122
41150630,보건의료,13
41150630,부동산,36
41150630,소매,146
41150630,수리·개인,82
41150630,숙박,1
41150630,시설관리·임대,17
41150630,예술·스포츠,31
41150630,음식,220
41171510,과학·기술,53
41171510,교육,62
41171510,보건의료,54
41171510,부동산,34
41171510,소매,572
41171510,수리·개인,125
41171510,숙박,55
41171510,시설관리·임대,27
41171510,예술·스포츠,85
41171510,음식,456
41171520,과학·기술,83
41171520,교육,81
41171520,보건의료,24
41171520,부동산,41
41171520,소매,223
41171520,수리·개인,112
41171520,숙박,11
41171520,시설관리·임대,36
41171520,예술·스포츠,49
41171520,음식,227
41171530,과학·기술,36
41171530,교육,60
41171530,보건의료,15
41171530,부동산,29
41171530,소매,136
41171530,수리·개인,108
41171530,숙박,5
41171530,시설관리·임대,21
41171530,예술·스포츠,39
41171530,음식,255
41171540,과학·기술,48
41171540,교육,34
41171540,보건의료,74
41171540,부동산,24
41171540,소매,366
41171540,수리·개인,102
41171540,숙박,13
41171540,시설관리·임대,22
41171540,예술·스포츠,44
41171540,음식,307
41171550,과학·기술,47
41171550,교육,38
41171550,보건의료,19
41171550,부동산,44
41171550,소매,117
41171550,수리·개인,70
41171550,숙박,6
41171550,시설관리·임대,24
41171550,예술·스포츠,19
41171550,음식,183
41171560,과학·기술,181
41171560,교육,47
41171560,보건의료,18
41171560,부동산,43
41171560,소매,180
41171560,수리·개인,136
41171560,숙박,31
41171560,시설관리·임대,72
41171560,예술·스포츠,34
41171560,음식,354
41171570,과학·기술,270
41171570,교육,112
41171570,보건의료,24
41171570,부동산,55
41171570,소매,164
41171570,수리·개인,102
41171570,시설관리·임대,49
41171570,예술·스포츠,34
41171570,음식,255
41171580,과학·기술,38
41171580,교육,23
41171580,보건의료,6
41171580,부동산,19
41171580,소매,80
41171580,수리·개인,49
41171580,숙박,2
41171580,시설관리·임대,24
41171580,예술·스포츠,14
41171580,음식,88
41171581,과학·기술,23
41171581,교육,13
41171581,보건의료,5
41171581,부동산,11
41171581,소매,61
41171581,수리·개인,47
41171581,시설관리·임대,6
41171581,예술·스포츠,11
41171581,음식,83
41171590,과학·기술,48
41171590,교육,50
41171590,보건의료,10
41171590,부동산,24
41171590,소매,105
41171590,수리·개인,39
41171590,숙박,2
41171590,시설관리·임대,16
41171590,예술·스포츠,28
41171590,음식,226
41171600,과학·기술,75
41171600,교육,68
41171600,보건의료,22
41171600,부동산,49
41171600,소매,161
41171600,수리·개인,125
41171600,숙박,6
41171600,시설관리·임대,43
41171600,예술·스포츠,42
41171600,음식,195
41171611,과학·기술,13
41171611,교육,40
41171611,보건의료,6
41171611,부동산,15
41171611,소매,66
41171611,수리·개인,41
41171611,시설관리·임대,8
41171611,예술·스포츠,16
41171611,음식,85
41171640,과학·기술,40
41171640,교육,44
41171640,보건의료,31
41171640,부동산,29
41171640,소매,338
41171640,수리·개인,195
41171640,시설관리·임대,20
41171640,예술·스포츠,69
41171640,음식,471
41171650,과학·기술,23
41171650,교육,56
41171650,보건의료,11
41171650,부동산,20
41171650,소매,134
41171650,수리·개인,108
41171650,시설관리·임대,12
41171650,예술·스포츠,29
41171650,음식,153
41173510,과학·기술,15
41173510,교육,85
41173510,보건의료,33
41173510,부동산,33
41173510,소매,77
41173510,수리·개인,58
41173510,시설관리·임대,8
41173510,예술·스포츠,20
41173510,음식,91
41173520,과학·기술,20
41173520,교육,40
41173520,보건의료,14
41173520,부동산,22
41173520,소매,76
41173520,수리·개인,52
41173520,시설관리·임대,6
41173520,예술·스포츠,15
41173520,음식,81
41173530,과학·기술,52
41173530,교육,54
41173530,보건의료,14
41173530,부동산,37
41173530,소매,117
41173530,수리·개인,67
41173530,시설관리·임대,23
41173530,예술·스포츠,39
41173530,음식,224
41173540,과학·기술,117
41173540,교육,99
41173540,보건의료,40
41173540,부동산,33
41173540,소매,120
41173540,수리·개인,93
41173540,시설관리·임대,40
41173540,예술·스포츠,9
41173540,음식,77
41173546,과학·기술,110
41173546,교육,26
41173546,보건의료,17
41173546,부동산,21
41173546,소매,93
41173546,수리·개인,61
41173546,숙박,1
41173546,시설관리·임대,30
41173546,예술·스포츠,12
41173546,음식,75
41173552,과학·기술,146
41173552,교육,142
41173552,보건의료,66
41173552,부동산,79
41173552,소매,417
41173552,수리·개인,236
41173552,숙박,8
41173552,시설관리·임대,38
41173552,예술·스포츠,80
41173552,음식,453
41173559,과학·기술,1071
41173559,교육,150
41173559,보건의료,98
41173559,부동산,142
41173559,소매,489
41173559,수리·개인,258
