행정동코드,상권업종중분류명,store_count
41111600,안경·정밀기기 소매,3
41111600,애완동물·용품 소매,2
41111600,오락용품 소매,7
41111600,욕탕·신체관리,1
41111600,유원지·오락,18
41111600,음료 소매,1
41111600,의약·화장품 소매,17
41111600,의원,21
41111600,이용·미용,57
41111600,인쇄·제품제작,3
41111600,일반 교육,13
41111600,일반 숙박,12
41111600,일식,5
41111600,자동차 부품 소매,1
41111600,자동차 수리·세차,8
41111600,장례식장 ,6
41111600,전문 디자인,16
41111600,조경·유지,1
41111600,종합 소매,44
41111600,주점,28
41111600,중고 상품 소매,6
41111600,중식,8
41111600,철물·건설자재 소매,11
41111600,청소·방제,13
41111600,컴퓨터 수리,2
41111600,한식,124
41113520,가전·통신 소매,6
41113520,가전제품 수리,3
41113520,가정용품 대여,1
41113520,고용 알선,5
41113520,광고,1
41113520,교육 지원,1
41113520,기타 가정용품 수리,3
41113520,기타 간이,15
41113520,기타 교육,22
41113520,기타 사업 서비스,1
41113520,기타 상품 소매,1
41113520,기타 생활용품 소매,1
41113520,기타 전문 과학,1
41113520,도서관·사적지,2
41113520,모터사이클 소매,2
41113520,법무관련 ,1
41113520,본사·경영 컨설팅,3
41113520,부동산 서비스,32
41113520,비알코올 ,5
41113520,사진 촬영,4
41113520,산업용품 대여,1
41113520,섬유·의복·신발 소매,4
41113520,세탁,4
41113520,수의,1
41113520,스포츠 서비스,9
41113520,식료품 소매,10
41113520,식물 소매,2
41113520,안경·정밀기기 소매,4
41113520,애완동물·용품 소매,1
41113520,여행사·보조,3
41113520,연료 소매,2
41113520,오락용품 소매,4
41113520,욕탕·신체관리,4
41113520,운송장비 대여,1
41113520,유원지·오락,7
41113520,의약·화장품 소매,7
41113520,의원,12
41113520,이용·미용,35
41113520,인쇄·제품제작,2
41113520,일반 교육,17
41113520,일반 숙박,1
41113520,자동차 부품 소매,2
41113520,자동차 수리·세차,8
41113520,전문 디자인,4
41113520,종합 소매,14
41113520,주점,4
41113520,중식,1
41113520,철물·건설자재 소매,3
41113520,청소·방제,4
41113520,한식,16
41113520,회계·세무,1
